"","Colony","Individ_id","pers","Number_of_tracks"
"320","Jan.Mayen","NOS-4181647",25.414,1052
"321","Jan.Mayen","NOS-4181650",24.601,1415
"322","Jan.Mayen","NOS-4181651",25.3984,728
"323","Jan.Mayen","NOS-4181654",23.8736,363
"324","Jan.Mayen","NOS-4181655",25.6435,727
"325","Jan.Mayen","NOS-4181657",26.0886,727
"326","Jan.Mayen","NOS-4181661",25.9026,729
"327","Jan.Mayen","NOS-4181662",25.0121,687
"328","Jan.Mayen","NOS-4181663",26.1845,323
"329","Jan.Mayen","NOS-4181664",26.8591,1456
"330","Jan.Mayen","NOS-4181665",24.6651,363
"331","Jan.Mayen","NOS-4181666",24.5333,1094
"332","Jan.Mayen","NOS-4181667",27.2929,364
"333","Jan.Mayen","NOS-4181668",25.5315,364
"334","Jan.Mayen","NOS-4181670",24.7332,364
"335","Jan.Mayen","NOS-4181674",26.624,730
"336","Jarsteinen","NOS-4104835",28.2029,1094
"337","Jarsteinen","NOS-4207468",26.0207,731
"338","Jarsteinen","NOS-4221715",25.6143,1461
"339","Jarsteinen","NOS-4241937",27.5253,730
"340","Jarsteinen","NOS-4262401",27.7345,730
"341","Jarsteinen","NOS-4262415",27.8831,730
"342","Jarsteinen","NOS-4262538",26.9936,732
"343","Jarsteinen","NOS-4262541",24.786,729
"344","Jarsteinen","NOS-4262801",29.7718,364
"345","Jarsteinen","NOS-4262804",26.8061,365
"346","Jarsteinen","NOS-4262952",29.1346,364
"347","Jarsteinen","NOS-4264093",25.2926,1459
"348","Jarsteinen","NOS-4264390",23.9713,727
"349","Jarsteinen","NOS-4264403",28.0873,365
"350","Jarsteinen","NOS-4264405",28.3447,728
"351","Little.Saltee","GBT-FA88604",29.1377,730
"352","Little.Saltee","GBT-FB25124",29.1162,364
"353","Little.Saltee","GBT-FB25128",28.7193,364
"354","Little.Saltee","GBT-FB25130",27.1578,364
"355","Little.Saltee","GBT-FB25133",28.8184,364
"356","Little.Saltee","GBT-FB25141",24.2122,364
"357","Little.Saltee","GBT-FH15572",27.7765,366
"358","Little.Saltee","GBT-FH78306",29.3557,366
"359","Little.Saltee","GBT-FH78356",27.4201,364
"360","Little.Saltee","GBT-FH78367",26.481,730
"361","Little.Saltee","GBT-FJ59505",29.5132,364
"362","Little.Saltee","GBT-FJ59507",27.9055,364
"363","Little.Saltee","GBT-FP14812",29.1875,730
"364","Little.Saltee","GBT-FP14834",28.8048,364
"365","Little.Saltee","GBT-FP14869",28.8248,364
"366","Little.Saltee","GBT-FP14991",27.4462,730
"367","Little.Saltee","GBT-FP14999",29.735,364
"368","Little.Saltee","GBT-FP40312",29.5005,364
"369","Little.Saltee","GBT-FP40344",29.5023,364
"370","Little.Saltee","GBT-FP40362",27.1784,364
"371","Little.Saltee","GBT-FP40378",28.7663,364
"372","Little.Saltee","GBT-FP40433",29.4011,364
"373","Little.Saltee","GBT-FP64331",28.6208,364
"374","Little.Saltee","GBT-FP64357",29.1431,730
"375","Little.Saltee","GBT-FP64364",29.0062,728
"376","Little.Saltee","GBT-FP64367",28.7954,364
"377","Little.Saltee","GBT-FR18053",28.3852,730
"378","Little.Saltee","GBT-FR18074",29.831,364
"379","Little.Saltee","GBT-FR18354",28.4653,364
"380","Little.Saltee","GBT-FV46558",27.9839,364
"381","Little.Saltee","GBT-FV46572",29.4082,364
"382","Little.Saltee","GBT-FV46799",29.2731,364
