"","population","individual","b","c","exposure_score","Individ_id"
"170","Eynhallow",3,1.00000000024738,1.00678086726543,27.1204,"GBT-FC14766"
"171","Eynhallow",30,0.999999999796728,1.00721961819717,27.1942,"GBT-FH89043"
"172","Eynhallow",31,0.999999999785814,1.00877719270813,27.6984,"GBT-FH89085"
"173","Eynhallow",32,1.00000000017008,0.999587340759396,26.9389,"GBT-FH89086"
"174","Eynhallow",33,1.00000000007867,1.00300567570886,26.886,"GBT-FH89088"
"175","Eynhallow",34,1.00000000023419,1.01047858387664,27.0057,"GBT-FH89089"
"176","Eynhallow",35,0.99999999982856,1.00547159070977,27.4182,"GBT-FH89090"
"177","Eynhallow",36,1.00000000018827,1.00725145050158,26.8587,"GBT-FH89091"
"178","Eynhallow",37,1.00000000008095,1.00324720608019,27.4815,"GBT-FH89093"
"179","Eynhallow",38,0.999999999725333,1.00439342861888,27.0624,"GBT-FH89095"
"180","Eynhallow",39,0.999999999485226,0.999043738187553,27.2213,"GBT-FH89096"
"181","Eynhallow",4,0.999999999744432,1.00602576685703,27.0189,"GBT-FC14836"
"182","Eynhallow",40,0.999999999978172,1.00740766173627,27.1745,"GBT-FH89099"
"183","Eynhallow",41,1.00000000023465,1.00551688280817,27.6889,"GBT-FH89102"
"184","Eynhallow",42,0.999999999880401,0.998532289084459,25.6111,"GBT-FH89108"
"185","Eynhallow",43,1.00000000029081,1.00420589924911,25.7875,"GBT-FP05006"
"186","Eynhallow",44,1.00000000006571,0.997702305478914,26.0053,"GBT-FP05013"
"187","Eynhallow",45,1.00000000016462,1.00351030297885,27.372,"GBT-FP05030"
"188","Eynhallow",46,1.00000000002092,1.01077344866953,27.8919,"GBT-FP05078"
"189","Eynhallow",47,0.999999999827196,0.996718585898034,23.4777,"GBT-FP05082"
"190","Eynhallow",48,1.00000000013279,1.00130495078608,25.4668,"GBT-FP05091"
"191","Eynhallow",49,0.999999999831743,0.999651437613504,23.9783,"GBT-FP05130"
"192","Eynhallow",5,1.00000000015007,1.00266126850788,27.2502,"GBT-FC14839"
"193","Eynhallow",50,0.999999999535703,1.00965990343079,26.571,"GBT-FP05132"
"194","Eynhallow",51,1.00000000034743,1.00441320464554,27.0662,"GBT-FP05134"
"195","Eynhallow",52,1.00000000010186,1.00243100014466,25.2574,"GBT-FP05135"
"196","Eynhallow",53,1.00000000040245,1.01224112324063,26.9281,"GBT-FP05150"
"197","Eynhallow",54,0.99999999997658,0.999317527415936,26.0233,"GBT-FP05183"
"198","Eynhallow",55,0.999999999689862,0.999274804288149,27.2043,"GBT-FP05192"
"199","Eynhallow",56,0.999999999970214,1.0041329477437,25.8909,"GBT-FP05203"
"200","Eynhallow",57,0.999999999917236,1.00604395287221,27.4746,"GBT-FP05205"
"201","Eynhallow",58,0.999999999780812,1.00591802963286,27.1542,"GBT-FP05208"
"202","Eynhallow",59,0.999999999930424,1.00754722346602,27.0893,"GBT-FP05214"
"203","Eynhallow",6,0.999999999559805,1.00332557398882,27.5532,"GBT-FC28752"
"204","Eynhallow",60,1.00000000019327,1.0024549302132,27.3298,"GBT-FP05222"
"205","Eynhallow",61,0.999999999777174,1.00099006070981,27.7979,"GBT-FP05224"
"206","Eynhallow",62,0.99999999951342,1.00862752959528,27.8929,"GBT-FP05229"
"207","Eynhallow",63,0.999999999900865,1.00796635930121,27.3902,"GBT-FP05231"
"208","Eynhallow",64,0.999999999769216,1.0010713680429,26.1603,"GBT-FP05238"
"209","Eynhallow",65,0.999999999940883,0.997924012729511,24.2381,"GBT-FP05438"
"210","Eynhallow",66,0.999999999922238,1.00933554793933,27.4931,"GBT-FP96010"
"211","Eynhallow",67,1.00000000024374,1.00556364461242,26.7408,"GBT-FP96018"
"212","Eynhallow",68,1.00000000025716,0.995685091982074,25.2335,"GBT-FP96027"
"213","Eynhallow",69,0.999999999984539,0.997213960261711,25.6319,"GBT-FP96037"
"214","Eynhallow",7,0.999999999835381,1.0035732927937,27.196,"GBT-FC28841"
"215","Eynhallow",70,0.9999999995498,1.00088036380666,27.5657,"GBT-FP96044"
"216","Eynhallow",71,0.999999999843567,1.00160446913894,26.3035,"GBT-FP96045"
"217","Eynhallow",72,1.00000000020418,1.00358614996595,25.2113,"GBT-FP96054"
"218","Eynhallow",73,1.00000000015916,0.998481898245728,27.6493,"GBT-FP96057"
"219","Eynhallow",74,1.00000000012551,1.0074531090773,26.3639,"GBT-FP96064"
"220","Eynhallow",75,0.999999999887677,0.996764577773951,25.9036,"GBT-FP96075"
"221","Eynhallow",76,0.999999999700321,0.99500568003604,28.4354,"GBT-FP96076"
"222","Eynhallow",77,1.00000000039745,1.00078169690317,27.3584,"GBT-FP96077"
