"","population","individual","tracking_year","b","c","exposure_score","CI_lower","CI_upper"
"152","Iceland","ISR.336166",2016,0.999999999821739,0.996884210953021,23.1777,20.6424575,25.4516225
"153","Iceland","ISR.336166",2017,0.999999999869942,0.996015726484379,23.3562,20.6424575,25.4516225
"154","Iceland","ISR.336166",2018,1.00000000008185,0.998531709837846,23.884,20.6424575,25.4516225
"155","Iceland","ISR.336166",2019,0.999999999864485,0.996660764703723,22.879,20.6424575,25.4516225
"156","Iceland","ISR.336167",2016,0.999999999797183,0.99395680867903,21.4763,20.6424575,25.4516225
"157","Iceland","ISR.336167",2017,0.999999999778083,0.991859245364721,25.2005,20.6424575,25.4516225
"158","Iceland","ISR.336176",2017,0.999999999988177,1.00008324739166,24.6994,20.6424575,25.4516225
"159","Iceland","ISR.336176",2018,1.00000000009823,0.995438360556535,22.3703,20.6424575,25.4516225
"160","Iceland","ISR.336176",2019,0.999999999859938,1.0012052635404,23.6702,20.6424575,25.4516225
"161","Iceland","ISR.336179",2017,1.00000000043383,1.00176119324739,23.1638,20.6424575,25.4516225
"162","Iceland","ISR.339217",2014,0.999999999972715,1.00222156705072,23.5132,20.6424575,25.4516225
"163","Iceland","ISR.339217",2015,0.99999999995407,1.00276378063176,23.7778,20.6424575,25.4516225
"164","Iceland","ISR.339217",2016,0.999999999821284,1.0002092983757,23.2516,20.6424575,25.4516225
"165","Iceland","ISR.339217",2017,1.00000000008527,0.99880433985326,22.7327,20.6424575,25.4516225
"166","Iceland","ISR.339217",2018,0.999999999566171,1.00541933682196,24.6937,20.6424575,25.4516225
"167","Iceland","ISR.339220",2016,1.00000000011778,1.00070493439868,23.9483,20.6424575,25.4516225
"168","Iceland","ISR.339222",2014,1.00000000018008,1.00058277420302,25.884,20.6424575,25.4516225
"169","Iceland","ISR.339222",2015,0.999999999902457,0.998470970125901,24.4755,20.6424575,25.4516225
"170","Iceland","ISR.339223",2014,1.0000000000091,1.00015573172231,23.3877,20.6424575,25.4516225
"171","Iceland","ISR.339223",2015,0.999999999896772,0.998505156200477,23.508,20.6424575,25.4516225
"172","Iceland","ISR.339223",2016,0.999999999724878,0.997571358678578,21.7944,20.6424575,25.4516225
"173","Iceland","ISR.339226",2014,1.00000000006185,0.995599857849116,25.3399,20.6424575,25.4516225
"174","Iceland","ISR.339226",2015,0.999999999969532,0.997781137730229,24.974,20.6424575,25.4516225
"175","Iceland","ISR.339226",2016,1.00000000001046,0.997232139099917,24.3149,20.6424575,25.4516225
"176","Iceland","ISR.339227",2014,0.999999999921783,1.00262601263785,24.2927,20.6424575,25.4516225
"177","Iceland","ISR.339227",2015,0.999999999865395,0.995686352057719,23.4984,20.6424575,25.4516225
"178","Iceland","ISR.339227",2016,1.00000000019918,1.00121103439953,22.7557,20.6424575,25.4516225
"179","Iceland","ISR.339227",2017,0.999999999957254,1.00194157456292,23.2681,20.6424575,25.4516225
"180","Iceland","ISR.339227",2018,0.999999999919964,0.998814772515214,24.3839,20.6424575,25.4516225
"181","Iceland","ISR.339227",2019,1.00000000033469,0.999943702873915,23.9682,20.6424575,25.4516225
"182","Iceland","ISR.339229",2014,0.999999999979991,1.00330081356895,24.0235,20.6424575,25.4516225
"183","Iceland","ISR.339229",2015,0.999999999390184,0.998535265823428,24.4995,20.6424575,25.4516225
"184","Iceland","ISR.339229",2016,0.999999999983174,0.99784086272568,23.3905,20.6424575,25.4516225
"185","Iceland","ISR.339229",2017,1.00000000003047,0.996115976282783,24.6371,20.6424575,25.4516225
"186","Iceland","ISR.339229",2018,0.999999999885404,0.998630439491987,23.7624,20.6424575,25.4516225
